,Role,Company,Stipend,Duration,Location
0,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
1,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
2,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
3,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
4,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
5,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
6,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
7,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
8,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
9,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
10,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
11,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
12,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
13,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
14,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
15,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Noida
16,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
17,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
18,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Patna
19,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Pune
20,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
21,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Chennai                                                            (Hybrid)
22,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
23,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
24,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Pune
25,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Sonipat
26,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Kolkata                                                            (Hybrid)
27,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Panchkula
28,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Delhi
29,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Ahmedabad
30,Graphic Design,Trapigo,"₹ 3,000-5,000 /month",6 Months,Pune
31,Customer Service/Customer Support,MentorBoxx,"₹ 15,000 /month",3 Months,Hinjawadi
32,Research,ReportsInsights Consulting Pvt Ltd,"₹ 10,000 /month",6 Months,Pune
33,Graphic Design,Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,Ahmedabad
34,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,Mohali
35,Business Awards Management,WEMATTER PXT Limited,"₹ 15,000 /month",6 Months,Kolkata
36,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,"North Goa, Goa Velha, Goa"
37,Videography,Organic Smokes,"₹ 30,000 /month",6 Months,Delhi
38,Content Writing,Esta Global,"₹ 6,000 /month",6 Months,
39,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
40,Social Media Marketing,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,
41,Electrical Engineering,Integrated Project Design,"₹ 5,000 /month",6 Months,
42,Sales Associate,RBK Technologies,"₹ 25,000 /month",3 Months,
43,Video Editing/Making,Pune Medical Coding Training Institute,"₹ 7,000 /month",5 Months,
44,Law/Legal,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
45,Graphic Design,Rajul Graphics,"₹ 7,000 /month",6 Months,
46,Graphic Design,Alphanumeric Ideas Private Limited,"₹ 2,000-3,000 /month",3 Months,
47,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,
48,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,
49,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,
50,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
51,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
52,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
53,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
54,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
55,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
56,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
57,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
58,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
59,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
60,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
61,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
62,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
63,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
64,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
65,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Noida
66,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
67,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
68,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Patna
69,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Pune
70,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
71,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Chennai                                                            (Hybrid)
72,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
73,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
74,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Pune
75,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Sonipat
76,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Kolkata                                                            (Hybrid)
77,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Panchkula
78,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Delhi
79,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Ahmedabad
80,Graphic Design,Trapigo,"₹ 3,000-5,000 /month",6 Months,Pune
81,Customer Service/Customer Support,MentorBoxx,"₹ 15,000 /month",3 Months,Hinjawadi
82,Research,ReportsInsights Consulting Pvt Ltd,"₹ 10,000 /month",6 Months,Pune
83,Graphic Design,Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,Ahmedabad
84,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,Mohali
85,Business Awards Management,WEMATTER PXT Limited,"₹ 15,000 /month",6 Months,Kolkata
86,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,"North Goa, Goa Velha, Goa"
87,Videography,Organic Smokes,"₹ 30,000 /month",6 Months,Delhi
88,Content Writing,Esta Global,"₹ 6,000 /month",6 Months,
89,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
90,Social Media Marketing,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,
91,Electrical Engineering,Integrated Project Design,"₹ 5,000 /month",6 Months,
92,Sales Associate,RBK Technologies,"₹ 25,000 /month",3 Months,
93,Video Editing/Making,Pune Medical Coding Training Institute,"₹ 7,000 /month",5 Months,
94,Law/Legal,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
95,Graphic Design,Rajul Graphics,"₹ 7,000 /month",6 Months,
96,Graphic Design,Alphanumeric Ideas Private Limited,"₹ 2,000-3,000 /month",3 Months,
97,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,
98,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,
99,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,
100,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
101,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
102,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
103,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
104,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
105,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
106,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
107,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
108,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
109,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
110,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
111,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
112,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
113,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
114,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
115,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Noida
116,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
117,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
118,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Patna
119,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Pune
120,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
121,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Chennai                                                            (Hybrid)
122,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
123,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
124,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Pune
125,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Sonipat
126,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Kolkata                                                            (Hybrid)
127,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Panchkula
128,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Delhi
129,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Ahmedabad
130,Graphic Design,Trapigo,"₹ 3,000-5,000 /month",6 Months,Pune
131,Customer Service/Customer Support,MentorBoxx,"₹ 15,000 /month",3 Months,Hinjawadi
132,Research,ReportsInsights Consulting Pvt Ltd,"₹ 10,000 /month",6 Months,Pune
133,Graphic Design,Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,Ahmedabad
134,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,Mohali
135,Business Awards Management,WEMATTER PXT Limited,"₹ 15,000 /month",6 Months,Kolkata
136,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,"North Goa, Goa Velha, Goa"
137,Videography,Organic Smokes,"₹ 30,000 /month",6 Months,Delhi
138,Content Writing,Esta Global,"₹ 6,000 /month",6 Months,
139,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
140,Social Media Marketing,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,
141,Electrical Engineering,Integrated Project Design,"₹ 5,000 /month",6 Months,
142,Sales Associate,RBK Technologies,"₹ 25,000 /month",3 Months,
143,Video Editing/Making,Pune Medical Coding Training Institute,"₹ 7,000 /month",5 Months,
144,Law/Legal,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
145,Graphic Design,Rajul Graphics,"₹ 7,000 /month",6 Months,
146,Graphic Design,Alphanumeric Ideas Private Limited,"₹ 2,000-3,000 /month",3 Months,
147,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,
148,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,
149,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,
150,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
151,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
152,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
153,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
154,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
155,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
156,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
157,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
158,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
159,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
160,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
161,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
162,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
163,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
164,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
165,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Noida
166,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
167,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
168,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Patna
169,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Pune
170,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
171,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Chennai                                                            (Hybrid)
172,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
173,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
174,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Pune
175,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Sonipat
176,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Kolkata                                                            (Hybrid)
177,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Panchkula
178,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Delhi
179,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Ahmedabad
180,Graphic Design,Trapigo,"₹ 3,000-5,000 /month",6 Months,Pune
181,Customer Service/Customer Support,MentorBoxx,"₹ 15,000 /month",3 Months,Hinjawadi
182,Research,ReportsInsights Consulting Pvt Ltd,"₹ 10,000 /month",6 Months,Pune
183,Graphic Design,Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,Ahmedabad
184,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,Mohali
185,Business Awards Management,WEMATTER PXT Limited,"₹ 15,000 /month",6 Months,Kolkata
186,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,"North Goa, Goa Velha, Goa"
187,Videography,Organic Smokes,"₹ 30,000 /month",6 Months,Delhi
188,Content Writing,Esta Global,"₹ 6,000 /month",6 Months,
189,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
190,Social Media Marketing,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,
191,Electrical Engineering,Integrated Project Design,"₹ 5,000 /month",6 Months,
192,Sales Associate,RBK Technologies,"₹ 25,000 /month",3 Months,
193,Video Editing/Making,Pune Medical Coding Training Institute,"₹ 7,000 /month",5 Months,
194,Law/Legal,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
195,Graphic Design,Rajul Graphics,"₹ 7,000 /month",6 Months,
196,Graphic Design,Alphanumeric Ideas Private Limited,"₹ 2,000-3,000 /month",3 Months,
197,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,
198,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,
199,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,
200,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
201,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
202,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
203,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
204,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
205,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
206,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
207,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
208,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
209,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
210,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
211,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
212,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
213,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
214,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
215,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Noida
216,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
217,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
218,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Patna
219,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Pune
220,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
221,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Chennai                                                            (Hybrid)
222,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
223,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
224,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Pune
225,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Sonipat
226,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Kolkata                                                            (Hybrid)
227,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Panchkula
228,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Delhi
229,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Ahmedabad
230,Graphic Design,Trapigo,"₹ 3,000-5,000 /month",6 Months,Pune
231,Customer Service/Customer Support,MentorBoxx,"₹ 15,000 /month",3 Months,Hinjawadi
232,Research,ReportsInsights Consulting Pvt Ltd,"₹ 10,000 /month",6 Months,Pune
233,Graphic Design,Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,Ahmedabad
234,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,Mohali
235,Business Awards Management,WEMATTER PXT Limited,"₹ 15,000 /month",6 Months,Kolkata
236,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,"North Goa, Goa Velha, Goa"
237,Videography,Organic Smokes,"₹ 30,000 /month",6 Months,Delhi
238,Content Writing,Esta Global,"₹ 6,000 /month",6 Months,
239,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
240,Social Media Marketing,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,
241,Electrical Engineering,Integrated Project Design,"₹ 5,000 /month",6 Months,
242,Sales Associate,RBK Technologies,"₹ 25,000 /month",3 Months,
243,Video Editing/Making,Pune Medical Coding Training Institute,"₹ 7,000 /month",5 Months,
244,Law/Legal,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
245,Graphic Design,Rajul Graphics,"₹ 7,000 /month",6 Months,
246,Graphic Design,Alphanumeric Ideas Private Limited,"₹ 2,000-3,000 /month",3 Months,
247,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,
248,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,
249,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,
250,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
251,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
252,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
253,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
254,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
255,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
256,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
257,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
258,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
259,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
260,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
261,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
262,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
263,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
264,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
265,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Noida
266,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
267,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
268,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Patna
269,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Pune
270,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
271,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Chennai                                                            (Hybrid)
272,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
273,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
274,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Pune
275,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Sonipat
276,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Kolkata                                                            (Hybrid)
277,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Panchkula
278,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Delhi
279,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Ahmedabad
280,Graphic Design,Trapigo,"₹ 3,000-5,000 /month",6 Months,Pune
281,Customer Service/Customer Support,MentorBoxx,"₹ 15,000 /month",3 Months,Hinjawadi
282,Research,ReportsInsights Consulting Pvt Ltd,"₹ 10,000 /month",6 Months,Pune
283,Graphic Design,Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,Ahmedabad
284,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,Mohali
285,Business Awards Management,WEMATTER PXT Limited,"₹ 15,000 /month",6 Months,Kolkata
286,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,"North Goa, Goa Velha, Goa"
287,Videography,Organic Smokes,"₹ 30,000 /month",6 Months,Delhi
288,Content Writing,Esta Global,"₹ 6,000 /month",6 Months,
289,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
290,Social Media Marketing,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,
291,Electrical Engineering,Integrated Project Design,"₹ 5,000 /month",6 Months,
292,Sales Associate,RBK Technologies,"₹ 25,000 /month",3 Months,
293,Video Editing/Making,Pune Medical Coding Training Institute,"₹ 7,000 /month",5 Months,
