,Role,Company,Stipend,Duration,Location
7941,Founders Office Operations,Stirring Minds,"₹ 6,000-12,000 /month",6 Months,
7942,Influencer Marketer - Malayalam,Doveriye,"₹ 10,000-14,000 /month",3 Months,
7943,Creative Design,Art Of Puja,"₹ 7,000 /month",3 Months,
7944,Business Strategy,Aventus Capital,"₹ 5,000-10,000 /month",5 Months,
7945,Graphic Design,Techyguide OPC Private Limited,"₹ 5,000 /month",6 Months,
7946,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
7947,Graphic Design,Swipe,"₹ 20,000 /month",6 Months,
7948,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
7949,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
7950,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
7951,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
7952,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
7953,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
7954,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
7955,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
7956,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
7957,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
7958,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
7959,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
7960,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
7961,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
7962,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
7963,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
7964,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
7965,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
7966,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
7967,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
7968,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Raipur
7969,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
7970,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Jaipur
7971,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Ludhiana
7972,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
7973,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Delhi
7974,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Raipur
7975,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Bangalore
7976,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Jaipur
7977,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Delhi
7978,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Mumbai
7979,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Pune
7980,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Delhi
7981,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,Hyderabad
7982,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,"Delhi, Gurgaon, Noida                                                            (Hybrid)"
7983,Graphic Design,Raima Meditech Pvt Ltd,"₹ 10,000-15,000 /month",4 Months,Mumbai                                                            (Hybrid)
